MatchTime,Weekday,Month,Day,Year,Time,Composite,Home,Away,Stadium
"Saturday, May 16, 2015 8:30PM EDT",Saturday,May,16,2015,20:30,2015-05-16 20:30,Sporting KC,Colorado,Sporting Park
"Saturday, May 16, 2015 10:30PM EDT",Saturday,May,16,2015,20:30,2015-05-16 20:30,San Jose,Columbus,Avaya Stadium
"Sunday, May 17, 2015 5:00PM EDT",Sunday,May,17,2015,17:00,2015-05-17 17:00,Orlando,LA Galaxy,Citrus Bowl
"Sunday, May 17, 2015 7:00PM EDT",Sunday,May,17,2015,19:00,2015-05-17 19:00,Philadelphia,D.C. United,PPL Park
"Wednesday, May 20, 2015 8:00PM EDT",Wednesday,May,20,2015,20:00,2015-05-20 20:00,Sporting KC,New England,Sporting Park
"Friday, May 22, 2015 8:00PM EDT",Friday,May,22,2015,20:00,2015-05-22 20:00,Columbus,Chicago,Crew Stadium
"Friday, May 22, 2015 10:30PM EDT",Friday,May,22,2015,20:30,2015-05-22 20:30,LA Galaxy,Houston,Stubhub Center
"Saturday, May 23, 2015 TBD",Saturday,May,23,2015,00:00,2015-05-23 00:00,Seattle,Sporting KC,CenturyLink Field
"Saturday, May 23, 2015 TBD",Saturday,May,23,2015,00:00,2015-05-23 00:00,Montreal,FC Dallas,Stade Saputo
"Saturday, May 23, 2015 TBD",Saturday,May,23,2015,00:00,2015-05-23 00:00,Toronto FC,Portland,BMO Field
"Saturday, May 23, 2015 7:30PM EDT",Saturday,May,23,2015,19:30,2015-05-23 19:30,New England,D.C. United,Gillette Stadium
"Saturday, May 23, 2015 9:00PM EDT",Saturday,May,23,2015,21:00,2015-05-23 21:00,Colorado,Vancouver,Dick's Sporting Goods Park
"Saturday, May 23, 2015 10:00PM EDT",Saturday,May,23,2015,20:00,2015-05-23 20:00,Real Salt Lake,New York City,Rio Tinto Stadium
"Sunday, May 24, 2015 5:00PM EDT",Sunday,May,24,2015,17:00,2015-05-24 17:00,NY Red Bulls,Philadelphia,Red Bull Arena
"Sunday, May 24, 2015 7:00PM EDT",Sunday,May,24,2015,19:00,2015-05-24 19:00,San Jose,Orlando,Levi's Stadium
"Wednesday, May 27, 2015 TBD",Wednesday,May,27,2015,00:00,2015-05-27 00:00,Seattle,Colorado,CenturyLink Field
"Wednesday, May 27, 2015 10:30PM EDT",Wednesday,May,27,2015,20:30,2015-05-27 20:30,LA Galaxy,Real Salt Lake,Stubhub Center
"Wednesday, May 27, 2015 10:30PM EDT",Wednesday,May,27,2015,20:30,2015-05-27 20:30,Portland,D.C. United,Providence Park
"Friday, May 29, 2015 9:00PM EDT",Friday,May,29,2015,21:00,2015-05-29 21:00,Sporting KC,FC Dallas,Sporting Park
"Saturday, May 30, 2015 TBD",Saturday,May,30,2015,00:00,2015-05-30 00:00,Vancouver,Real Salt Lake,BC Place
