Match Time	Home Team	Away Team	Stadium
Friday, July 10, 2015 11:00PM EDT	San Jose	Houston	Avaya Stadium
Saturday, July 11, 2015 TBD	Montreal	Columbus	Stade Saputo
Saturday, July 11, 2015 7:00PM EDT	Philadelphia	Portland	PPL Park
Saturday, July 11, 2015 7:00PM EDT	NY Red Bulls	New England	Red Bull Arena
Saturday, July 11, 2015 7:30PM EDT	Orlando	FC Dallas	Citrus Bowl
Saturday, July 11, 2015 8:30PM EDT	Chicago	Seattle	Toyota Park
Sunday, July 12, 2015 TBD	Vancouver	Sporting KC	BC Place
Sunday, July 12, 2015 5:00PM EDT	New York City	Toronto FC	Yankee Stadium
Sunday, July 12, 2015 7:00PM EDT	Colorado	Real Salt Lake	Dick's Sporting Goods Park
Wednesday, July 15, 2015 8:30PM EDT	Chicago	Columbus	Toyota Park
Friday, July 17, 2015 11:00PM EDT	LA Galaxy	San Jose	Stubhub Center
Saturday, July 18, 2015 TBD	Seattle	Colorado	CenturyLink Field
Saturday, July 18, 2015 TBD	Toronto FC	Philadelphia	BMO Field
Saturday, July 18, 2015 7:30PM EDT	New England	New York City	Gillette Stadium
Saturday, July 18, 2015 8:30PM EDT	Sporting KC	Montreal	Sporting Park
Saturday, July 18, 2015 9:00PM EDT	FC Dallas	D.C. United	Toyota Stadium
Saturday, July 18, 2015 10:00PM EDT	Real Salt Lake	Houston	Rio Tinto Stadium
Saturday, July 18, 2015 10:30PM EDT	Portland	Vancouver	Providence Park
Sunday, July 19, 2015 5:00PM EDT	Columbus	Chicago	Crew Stadium
Sunday, July 19, 2015 7:00PM EDT	Orlando	NY Red Bulls	Citrus Bowl
Friday, July 24, 2015 11:00PM EDT	Real Salt Lake	Sporting KC	Rio Tinto Stadium
Saturday, July 25, 2015 TBD	Montreal	Seattle	Stade Saputo
Saturday, July 25, 2015 7:00PM EDT	NY Red Bulls	Colorado	Red Bull Arena
Saturday, July 25, 2015 7:30PM EDT	Columbus	Toronto FC	Crew Stadium
Saturday, July 25, 2015 8:30PM EDT	Chicago	New England	Toyota Park
Saturday, July 25, 2015 9:00PM EDT	Houston	LA Galaxy	BBVA Compass Stadium
Saturday, July 25, 2015 9:00PM EDT	FC Dallas	Portland	Toyota Stadium
Sunday, July 26, 2015 TBD	Vancouver	San Jose	BC Place
Sunday, July 26, 2015 2:30PM EDT	New York City	Orlando	Yankee Stadium
Sunday, July 26, 2015 5:00PM EDT	D.C. United	Philadelphia	RFK Stadium
